"Name","Description","Count"
"Hyperbola","",198
,,,,,,,,,,,,,
"Tool","Interpretation","GPR Line","Position(ft)","X(ft)","Y(ft)","Depth(ft)","Time(ns)","Elevation(ft)","Amplitude(mV)","Velocity(ft/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Comment"
"Point","Hyperbola","0315_01B-Grid #0001\YLine 3",1.947,0.667,1.947,0.388,2.23,N/A,2.585,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 3",2.484,0.667,2.484,0.351,2.02,N/A,-13.352,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 3",2.952,0.667,2.952,0.839,4.93,N/A,2.965,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 3",2.982,0.667,2.982,0.372,2.14,N/A,-12.862,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 3",3.449,0.667,3.449,0.372,2.14,N/A,-14.605,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\YLine 4",0.454,1.000,0.454,0.372,2.14,N/A,-6.406,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 4",0.952,1.000,0.952,0.372,2.14,N/A,-7.222,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 4",1.450,1.000,1.450,0.372,2.14,N/A,-10.454,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 4",1.947,1.000,1.947,0.372,2.14,N/A,-6.853,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 4",2.454,1.000,2.454,0.372,2.14,N/A,-6.473,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 4",2.952,1.000,2.952,0.388,2.23,N/A,3.479,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 4",3.449,1.000,3.449,0.388,2.23,N/A,2.266,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",0.454,1.333,0.454,0.372,2.14,N/A,-8.614,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",0.952,1.333,0.952,0.372,2.14,N/A,-9.130,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",1.450,1.333,1.450,0.372,2.14,N/A,-11.286,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",1.947,1.333,1.947,0.372,2.14,N/A,-9.432,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",2.454,1.333,2.454,0.372,2.14,N/A,-13.204,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",2.952,1.333,2.952,0.372,2.14,N/A,-14.881,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",3.449,1.333,3.449,0.351,2.02,N/A,-14.331,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\YLine 6",0.421,1.667,0.421,0.368,2.12,N/A,-9.479,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 6",0.953,1.667,0.953,0.356,2.05,N/A,-10.880,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 6",1.450,1.667,1.450,0.368,2.12,N/A,-10.555,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 6",1.947,1.667,1.947,0.356,2.05,N/A,-10.999,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 6",2.444,1.667,2.444,0.356,2.05,N/A,-12.423,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 6",2.953,1.667,2.953,0.387,2.23,N/A,-2.466,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 6",3.450,1.667,3.450,0.368,2.12,N/A,-13.071,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 6",3.913,1.667,3.913,0.338,1.94,N/A,-6.540,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\YLine 7",0.415,2.000,0.415,0.372,2.14,N/A,-2.171,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 7",0.912,2.000,0.912,0.372,2.14,N/A,-1.650,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 7",1.420,2.000,1.420,0.372,2.14,N/A,-5.345,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 7",1.917,2.000,1.917,0.351,2.02,N/A,-7.672,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 7",2.415,2.000,2.415,0.351,2.02,N/A,-10.233,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 7",2.912,2.000,2.912,0.372,2.14,N/A,-9.697,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 7",3.420,2.000,3.420,0.372,2.14,N/A,-10.114,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 7",3.917,2.000,3.917,0.372,2.14,N/A,-8.626,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",0.415,2.333,0.415,0.372,2.14,N/A,-1.288,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",0.912,2.333,0.912,0.351,2.02,N/A,-6.691,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",1.420,2.333,1.420,0.351,2.02,N/A,-7.169,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",1.887,2.333,1.887,0.351,2.02,N/A,-7.985,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",2.415,2.333,2.415,0.372,2.14,N/A,-2.826,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",2.912,2.333,2.912,0.404,2.33,N/A,12.655,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",3.420,2.333,3.420,0.404,2.33,N/A,10.836,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",3.887,2.333,3.887,0.388,2.23,N/A,-1.848,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\YLine 9",0.315,2.667,0.315,0.266,1.53,N/A,10.292,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 9",0.813,2.667,0.813,0.266,1.53,N/A,5.245,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 9",1.380,2.667,1.380,0.303,1.74,N/A,14.670,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 9",1.917,2.667,1.917,0.319,1.84,N/A,9.282,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 9",2.385,2.667,2.385,0.282,1.62,N/A,2.478,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 9",2.912,2.667,2.912,0.319,1.84,N/A,4.584,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 9",3.420,2.667,3.420,0.335,1.93,N/A,-4.717,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 9",3.887,2.667,3.887,0.303,1.74,N/A,-8.058,0.328,N/A,N/A,N/A,N/A,N/A,""
