"Name","Description","Count"
"Hyperbola","",198
,,,,,,,,,,,,,
"Tool","Interpretation","GPR Line","Position(ft)","X(ft)","Y(ft)","Depth(ft)","Time(ns)","Elevation(ft)","Amplitude(mV)","Velocity(ft/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Comment"
"Point","Hyperbola","0315_01B-Grid #0001\XLine E",3.549,3.549,1.333,0.335,1.93,N/A,8.133,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\XLine F",0.454,0.454,1.667,0.335,1.93,N/A,-9.221,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine F",0.982,0.982,1.667,0.351,2.02,N/A,-12.732,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine F",1.519,1.519,1.667,0.335,1.93,N/A,-7.184,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine F",1.987,1.987,1.667,0.351,2.02,N/A,-7.460,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine F",2.554,2.554,1.667,0.303,1.74,N/A,18.137,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine F",3.051,3.051,1.667,0.319,1.84,N/A,15.262,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine F",3.549,3.549,1.667,0.319,1.84,N/A,2.701,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\XLine G",0.479,0.479,2.000,0.338,1.94,N/A,-11.638,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine G",1.022,1.022,2.000,0.356,2.05,N/A,-11.950,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine G",1.346,1.346,2.000,0.707,4.13,N/A,2.904,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine G",1.520,1.520,2.000,0.368,2.12,N/A,-5.972,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine G",2.017,2.017,2.000,0.356,2.05,N/A,-7.578,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine G",2.548,2.548,2.000,0.300,1.72,N/A,18.125,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine G",3.046,3.046,2.000,0.319,1.83,N/A,15.574,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine G",3.554,3.554,2.000,0.319,1.83,N/A,3.252,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\XLine H",0.484,0.484,2.333,0.335,1.93,N/A,-9.522,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine H",1.022,1.022,2.333,0.351,2.02,N/A,-11.127,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine H",1.519,1.519,2.333,0.319,1.84,N/A,-4.668,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine H",2.017,2.017,2.333,0.335,1.93,N/A,-7.779,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine H",2.554,2.554,2.333,0.303,1.74,N/A,18.078,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine H",3.081,3.081,2.333,0.319,1.84,N/A,14.151,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine H",3.579,3.579,2.333,0.319,1.84,N/A,2.937,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\XLine I",0.514,0.514,2.667,0.351,2.02,N/A,-15.505,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine I",1.022,1.022,2.667,0.351,2.02,N/A,-14.142,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine I",1.519,1.519,2.667,0.351,2.02,N/A,-15.569,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine I",2.047,2.047,2.667,0.372,2.14,N/A,-6.784,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine I",2.584,2.584,2.667,0.319,1.84,N/A,18.422,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine I",3.081,3.081,2.667,0.319,1.84,N/A,8.428,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine I",3.579,3.579,2.667,0.319,1.84,N/A,-3.017,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
