"Name","Description","Count"
"Hyperbola","",7
"Tool","Interpretation","GPR Line","Position(ft)","X(ft)","Y(ft)","Depth(ft)","Time(ns)","Elevation(ft)","Amplitude(mV)","Velocity(ft/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Comment"
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",0.454,1.333,0.454,0.372,2.14,N/A,-8.614,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",0.952,1.333,0.952,0.372,2.14,N/A,-9.130,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",1.450,1.333,1.450,0.372,2.14,N/A,-11.286,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",1.947,1.333,1.947,0.372,2.14,N/A,-9.432,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",2.454,1.333,2.454,0.372,2.14,N/A,-13.204,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",2.952,1.333,2.952,0.372,2.14,N/A,-14.881,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 5",3.449,1.333,3.449,0.351,2.02,N/A,-14.331,0.328,N/A,N/A,N/A,N/A,N/A,""
