"Name","Description","Count"
"Hyperbola","",8
"Tool","Interpretation","GPR Line","Position(ft)","X(ft)","Y(ft)","Depth(ft)","Time(ns)","Elevation(ft)","Amplitude(mV)","Velocity(ft/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Comment"
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",0.415,2.333,0.415,0.372,2.14,N/A,-1.288,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",0.912,2.333,0.912,0.351,2.02,N/A,-6.691,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",1.420,2.333,1.420,0.351,2.02,N/A,-7.169,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",1.887,2.333,1.887,0.351,2.02,N/A,-7.985,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",2.415,2.333,2.415,0.372,2.14,N/A,-2.826,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",2.912,2.333,2.912,0.404,2.33,N/A,12.655,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",3.420,2.333,3.420,0.404,2.33,N/A,10.836,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 8",3.887,2.333,3.887,0.388,2.23,N/A,-1.848,0.328,N/A,N/A,N/A,N/A,N/A,""
